Path, MutableCount, DoCount, LoopCount, ArrayCount, ExceptionCount, IOCount, TokenCount
'../in/flagged_repos/FSharpx.Extras/before\23242ae3873ce742dee37e9ac27455e00aaf6675\JsonInference.fs', 0, 5, 5, 0, 0, 0, 604
'../in/flagged_repos/FSharpx.Extras/before\23242ae3873ce742dee37e9ac27455e00aaf6675\JsonProvider.fs', 1, 0, 0, 2, 1, 1, 1936
'../in/flagged_repos/FSharpx.Extras/before\23242ae3873ce742dee37e9ac27455e00aaf6675\Strings.fs', 0, 1, 1, 1, 0, 0, 1157
'../in/flagged_repos/FSharpx.Extras/before\23242ae3873ce742dee37e9ac27455e00aaf6675\XmlProvider.fs', 1, 0, 1, 2, 3, 1, 1536
'../in/flagged_repos/FSharpx.Extras/before\27ee0b49c6c4261ce364dd4ad03f455a7aad9100\Reflection.fs', 0, 0, 0, 4, 0, 0, 1174
'../in/flagged_repos/FSharpx.Extras/before\32cb9255b15e34fc2407ff48b1a7199d6770b0f0\Monad.fs', 0, 0, 0, 2, 10, 0, 9639
'../in/flagged_repos/FSharpx.Extras/before\32cb9255b15e34fc2407ff48b1a7199d6770b0f0\TaskTests.fs', 0, 0, 0, 0, 0, 0, 1089
'../in/flagged_repos/FSharpx.Extras/before\4b553ca1221c3e20e06bdf226fea6cb52071e58b\BinaryIterateeTest.fs', 0, 0, 0, 47, 0, 0, 5092
'../in/flagged_repos/FSharpx.Extras/before\4b553ca1221c3e20e06bdf226fea6cb52071e58b\ByteStringTest.fs', 0, 0, 0, 10, 0, 0, 1443
'../in/flagged_repos/FSharpx.Extras/before\4b553ca1221c3e20e06bdf226fea6cb52071e58b\FsCheckProperties.fs', 0, 0, 0, 0, 0, 0, 699
'../in/flagged_repos/FSharpx.Extras/before\4b553ca1221c3e20e06bdf226fea6cb52071e58b\LensExample.fs', 0, 1, 1, 0, 0, 0, 1471
'../in/flagged_repos/FSharpx.Extras/before\4b553ca1221c3e20e06bdf226fea6cb52071e58b\MonoidTests.fs', 0, 0, 1, 0, 0, 0, 783
'../in/flagged_repos/FSharpx.Extras/before\4b553ca1221c3e20e06bdf226fea6cb52071e58b\RoseTreeTest.fs', 0, 0, 0, 0, 0, 0, 1548
'../in/flagged_repos/FSharpx.Extras/before\4b553ca1221c3e20e06bdf226fea6cb52071e58b\ValidationExample.fs', 0, 0, 0, 0, 0, 0, 1168
'../in/flagged_repos/FSharpx.Extras/before\4b553ca1221c3e20e06bdf226fea6cb52071e58b\ValidationTests.fs', 0, 0, 0, 0, 0, 0, 1080
'../in/flagged_repos/FSharpx.Extras/before\6b46af110f01df022eabde8db8890c29a1cdc170\FreebaseTypeProvider.fs', 4, 20, 14, 1, 4, 0, 5290
'../in/flagged_repos/FSharpx.Extras/before\8dfe055678d45312008253f259039262c67a295f\FreebaseTypeProvider.fs', 4, 20, 14, 1, 5, 1, 5454
'../in/flagged_repos/FSharpx.Extras/before\ab1cfaa15be56cbd00d64209dde77250305d99c5\FreebaseTypeProvider.fs', 4, 20, 14, 1, 5, 1, 5454
'../in/flagged_repos/FSharpx.Extras/before\b78b82c07cd1e5f9e221b9151431725ae9901c6c\FreebaseTypeProvider.fs', 4, 20, 14, 1, 5, 1, 5463
'../in/flagged_repos/FSharpx.Extras/before\dc6dd9e459b4b1bc9e4ba60058dc3944f181034d\FreebaseTypeProvider.fs', 4, 20, 14, 1, 5, 1, 5473
'../in/flagged_repos/FSharpx.Extras/before\e3973db93f9983bb0c4aece83695be8a4524e8fc\DequeTest.fs', 2, 0, 0, 0, 0, 0, 11352
'../in/flagged_repos/FSharpx.Extras/before\e3973db93f9983bb0c4aece83695be8a4524e8fc\DListTest.fs', 2, 0, 2, 1, 0, 0, 3349
'../in/flagged_repos/FSharpx.Extras/before\e3973db93f9983bb0c4aece83695be8a4524e8fc\HeapTest.fs', 6, 0, 0, 0, 0, 0, 2926
'../in/flagged_repos/FSharpx.Extras/before\e3973db93f9983bb0c4aece83695be8a4524e8fc\RandomAccessListTest.fs', 2, 0, 1, 0, 0, 0, 13140
'../in/flagged_repos/FSharpx.Extras/before\e3973db93f9983bb0c4aece83695be8a4524e8fc\VectorTest.fs', 26, 13, 15, 0, 0, 0, 4145
